ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
50905,10.0.2.15,3.161.8.128,64,0,46152,80,-A-,TCP
8001,38.71.2.199,10.0.2.15,64,0,443,37294,-A-,TCP
8002,44.215.129.188,10.0.2.15,64,0,443,47810,-A-,TCP
8003,192.178.56.227,10.0.2.15,64,0,80,36586,-A-,TCP
8004,3.161.8.128,10.0.2.15,64,0,80,46152,-A-,TCP
55383,10.0.2.15,192.178.56.227,64,0,33790,80,-A-,TCP
8005,192.178.56.227,10.0.2.15,64,0,80,33790,-A-,TCP
50968,10.0.2.15,34.120.208.123,64,0,44742,443,-A-,TCP
50969,10.0.2.15,34.120.208.123,64,0,44742,443,-A-,TCP
8006,34.120.208.123,10.0.2.15,64,0,443,44742,-A-,TCP
8007,34.120.208.123,10.0.2.15,64,0,443,44742,-A-,TCP
8008,34.120.208.123,10.0.2.15,64,0,443,44742,-A-,TCP
50970,10.0.2.15,34.120.208.123,64,0,44742,443,-A-,TCP
8009,34.120.208.123,10.0.2.15,64,0,443,44742,-A-,TCP
25655,10.0.2.15,34.107.243.93,64,0,51646,443,-A-,TCP
8010,34.107.243.93,10.0.2.15,64,0,443,51646,-A-,TCP
8011,34.107.243.93,10.0.2.15,64,0,443,51646,-A-,TCP
25656,10.0.2.15,34.107.243.93,64,0,51646,443,-A-,TCP
59357,10.0.2.15,38.71.2.199,64,0,37300,443,-A-,TCP
34388,10.0.2.15,192.229.211.108,64,0,39836,80,-A-,TCP
16057,10.0.2.15,192.229.211.108,64,0,39850,80,-A-,TCP
8012,38.71.2.199,10.0.2.15,64,0,443,37300,-A-,TCP
8013,192.229.211.108,10.0.2.15,64,0,80,39836,-A-,TCP
8014,192.229.211.108,10.0.2.15,64,0,80,39850,-A-,TCP
20982,10.0.2.15,192.229.211.108,64,0,39864,80,-A-,TCP
8015,192.229.211.108,10.0.2.15,64,0,80,39864,-A-,TCP
56072,10.0.2.15,189.202.184.145,64,0,51478,80,-A-,TCP
13069,10.0.2.15,104.18.20.226,64,0,46156,80,-A-,TCP
8016,189.202.184.145,10.0.2.15,64,0,80,51478,-A-,TCP
8017,104.18.20.226,10.0.2.15,64,0,80,46156,-A-,TCP
50040,10.0.2.15,3.161.8.128,64,0,46156,80,-A-,TCP
48737,10.0.2.15,3.161.8.128,64,0,46158,80,-A-,TCP
8018,3.161.8.128,10.0.2.15,64,0,80,46156,-A-,TCP
8019,3.161.8.128,10.0.2.15,64,0,80,46158,-A-,TCP
19826,10.0.2.15,98.82.157.231,64,0,33282,443,-A-,TCP
53387,10.0.2.15,98.82.157.231,64,0,33278,443,-A-,TCP
26464,10.0.2.15,50.57.31.206,64,0,47264,443,-A-,TCP
8020,98.82.157.231,10.0.2.15,64,0,443,33282,-A-,TCP
8021,98.82.157.231,10.0.2.15,64,0,443,33278,-A-,TCP
8022,50.57.31.206,10.0.2.15,64,0,443,47264,-A-,TCP
26313,10.0.2.15,3.161.8.128,64,0,56746,80,-A-,TCP
8023,3.161.8.128,10.0.2.15,64,0,80,56746,-A-,TCP
59748,10.0.2.15,98.82.157.231,64,0,53944,443,-A-,TCP
8024,98.82.157.231,10.0.2.15,64,0,443,53944,-A-,TCP
7317,10.0.2.15,98.82.157.231,64,0,33276,443,-A-,TCP
8025,98.82.157.231,10.0.2.15,64,0,443,33276,-A-,TCP
15900,10.0.2.15,54.239.17.248,64,0,57036,443,-A-,TCP
8026,54.239.17.248,10.0.2.15,64,0,443,57036,-A-,TCP
3769,10.0.2.15,192.178.56.227,64,0,36574,80,-A-,TCP
8027,192.178.56.227,10.0.2.15,64,0,80,36574,-A-,TCP
7803,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
8028,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
